date,open,high,low,close
20240718,2805.64,2824.35,2799.02,2824.35
20240719,2800.21,2802.68,2776.99,2795.46
20240722,2790.99,2795.12,2752.63,2763.51
20240723,2788.83,2796.92,2765.81,2774.29
20240724,2755.5,2778.31,2748.65,2758.71
20240725,2721.29,2725.15,2703.86,2710.65
20240726,2724.99,2738.4,2715.75,2731.9
20240729,2748.32,2776.86,2742.69,2765.53
20240730,2744.4,2754.53,2732.82,2738.19
20240731,2745.58,2770.7,2733.63,2770.69
20240801,2787.27,2794.11,2772.97,2777.68
20240802,2719.39,2725.05,2666.4,2676.19
20240805,2611.3,2611.3,2386.96,2441.55
20240806,2533.34,2578.77,2491.47,2522.15
20240807,2515.27,2594.83,2510.82,2568.41
20240808,2530.21,2570.34,2518.52,2556.73
20240809,2603.08,2603.08,2575.9,2588.43
20240812,2602.16,2622.86,2602.01,2618.3
20240813,2624.5,2636.12,2607.52,2621.5
20240814,2649.11,2653.71,2632.44,2644.5
20240816,2695.49,2699.61,2680.74,2697.23
20240819,2697.97,2699.84,2664.28,2674.36
20240820,2699.74,2706.05,2686.06,2696.63
20240821,2687.2,2704.98,2684.61,2701.13
20240822,2710.95,2711.38,2690.35,2707.67
20240823,2690.8,2712.84,2689.54,2701.69
20240826,2716.88,2718.47,2688.79,2698.01
20240827,2696.24,2700.18,2681.92,2689.25
20240828,2690.59,2695.51,2671.59,2689.83
20240829,2657.18,2672.9,2649.56,2662.28
20240830,2676.72,2686.51,2668.66,2674.31
20240902,2683.8,2686.98,2658.31,2681.0
20240903,2683.12,2695.59,2664.63,2664.63
20240904,2589.94,2608.13,2578.07,2580.8
20240905,2598.36,2615.8,2560.65,2575.5
20240906,2576.66,2576.94,2529.31,2544.28
20240909,2498.67,2543.22,2491.3,2535.93
20240910,2542.69,2544.83,2522.48,2523.43
20240911,2524.86,2526.13,2493.37,2513.37
20240912,2547.5,2572.09,2537.87,2572.09
20240913,2571.81,2584.11,2562.91,2575.41
20240919,2594.67,2598.68,2550.09,2580.8
20240920,2603.83,2619.55,2591.4,2593.37
20240923,2596.47,2603.57,2588.49,2602.01
20240924,2612.45,2631.68,2597.81,2631.68
20240925,2652.71,2663.36,2596.32,2596.32
20240926,2630.91,2671.57,2630.3,2671.57
20240927,2674.58,2681.45,2649.78,2649.78
20240930,2665.24,2668.66,2593.27,2593.27
20241002,2566.55,2591.61,2555.46,2561.69
20241004,2563.7,2585.59,2555.57,2569.71
20241007,2579.2,2611.93,2561.46,2610.38
20241008,2592.65,2601.96,2581.79,2594.36
20241010,2611.65,2613.61,2596.86,2599.16
20241011,2612.02,2621.93,2594.43,2596.91
20241014,2602.63,2628.54,2602.63,2623.29
20241015,2632.37,2635.32,2615.47,2633.45
20241016,2606.7,2622.33,2601.35,2610.36
20241017,2620.74,2622.71,2603.52,2609.3
20241018,2616.04,2618.32,2587.96,2593.82
20241021,2600.77,2618.71,2594.05,2604.92
20241022,2600.87,2604.16,2564.46,2570.7
20241023,2575.25,2607.79,2567.42,2599.62
20241024,2591.69,2600.26,2578.8,2581.03
20241025,2597.44,2611.27,2577.0,2583.27
20241028,2588.45,2612.96,2587.2,2612.43
20241029,2606.94,2617.8,2595.86,2617.8
20241030,2606.99,2613.47,2586.88,2593.79
20241031,2575.24,2579.65,2552.36,2556.15
20241101,2542.96,2559.3,2536.84,2542.36
20241104,2549.04,2588.97,2542.68,2588.97
20241105,2570.24,2586.73,2564.66,2576.88
20241106,2591.9,2592.75,2544.04,2563.51
20241107,2557.23,2579.81,2540.48,2564.63
20241108,2586.7,2593.15,2553.42,2561.15
20241111,2562.05,2562.05,2525.56,2531.66
20241112,2527.94,2532.44,2481.53,2482.57
20241113,2468.27,2478.87,2415.77,2417.08
20241114,2430.26,2441.43,2410.93,2418.86
20241115,2413.05,2433.18,2390.56,2416.86
20241118,2440.31,2480.01,2437.53,2469.07
20241119,2469.13,2479.39,2465.15,2471.95
20241120,2475.76,2489.15,2471.79,2482.29
20241121,2474.62,2496.97,2474.62,2480.63
20241122,2493.42,2511.23,2492.21,2501.24
20241125,2524.11,2541.76,2517.98,2534.34
20241126,2521.39,2526.62,2512.21,2520.36
20241127,2518.82,2526.32,2498.32,2503.06
20241128,2499.69,2513.63,2495.64,2504.67
20241129,2496.93,2496.93,2446.96,2455.91
20241202,2479.02,2483.29,2448.45,2454.48
20241203,2472.06,2500.67,2471.55,2500.1
20241204,2450.76,2483.04,2442.46,2464.0
20241205,2471.45,2471.45,2434.78,2441.85
20241206,2451.6,2459.24,2397.73,2428.16
20241209,2392.37,2399.52,2360.18,2360.58
20241210,2384.51,2419.06,2384.51,2417.84
20241211,2412.15,2443.34,2411.38,2442.51
20241212,2456.63,2487.95,2448.76,2482.12
20241213,2473.75,2500.32,2470.24,2494.46
20241216,2511.08,2515.62,2483.43,2488.97
20241217,2487.31,2487.31,2455.05,2456.81
20241218,2463.06,2492.0,2462.82,2484.43
20241219,2426.55,2450.05,2423.59,2435.93
20241220,2429.63,2430.69,2389.86,2404.15
20241223,2423.36,2446.97,2413.62,2442.01
20241224,2450.55,2452.85,2432.42,2440.52
20241226,2449.52,2449.52,2428.82,2429.67
20241227,2419.46,2423.86,2388.33,2404.77
20241230,2397.49,2429.75,2390.44,2399.49
20250102,2400.87,2410.99,2386.84,2398.94
20250103,2402.58,2454.67,2402.58,2441.92
20250106,2453.3,2489.1,2446.82,2488.64
20250107,2513.49,2521.86,2492.09,2492.1
20250108,2481.25,2526.77,2481.25,2521.05
20250109,2526.1,2535.87,2515.82,2521.9
20250110,2528.42,2535.24,2506.29,2515.78
20250113,2508.15,2513.93,2483.73,2489.56
20250114,2501.49,2504.89,2482.74,2497.4
20250115,2511.07,2524.36,2493.1,2496.81
20250116,2528.27,2534.01,2519.86,2527.49
20250117,2520.85,2528.48,2513.84,2523.55
20250120,2533.68,2536.72,2516.28,2520.05
20250121,2533.23,2548.44,2507.95,2518.03
20250122,2535.8,2552.57,2526.89,2547.06
20250123,2541.24,2541.6,2515.49,2515.49
20250124,2529.29,2542.83,2522.64,2536.8
20250131,2534.33,2537.98,2496.95,2517.37
20250203,2468.74,2468.74,2437.61,2453.95
20250204,2481.44,2508.35,2471.63,2481.69
20250205,2503.94,2514.71,2498.74,2509.27
20250206,2521.82,2536.75,2515.34,2536.75
20250207,2532.09,2537.63,2519.01,2521.92
20250210,2510.64,2527.33,2499.18,2521.27
20250211,2532.87,2549.44,2527.74,2539.05
20250212,2534.71,2549.58,2528.74,2548.39
20250213,2558.95,2583.74,2555.98,2583.17
20250214,2588.2,2600.57,2582.84,2591.05
20250217,2595.99,2612.8,2592.57,2610.42
20250218,2613.25,2628.47,2605.15,2626.81
20250219,2633.91,2680.7,2633.91,2671.52
20250220,2661.72,2667.59,2645.53,2654.06
20250221,2653.76,2656.04,2638.44,2654.58
20250224,2636.12,2645.27,2626.88,2645.27
20250225,2617.64,2641.49,2617.12,2630.29
20250226,2629.86,2648.06,2620.16,2641.09
20250227,2637.63,2638.47,2610.47,2621.75
20250228,2585.61,2586.78,2531.24,2532.78
20250304,2522.2,2548.78,2513.31,2528.92
20250305,2548.45,2561.47,2535.18,2558.13
20250306,2573.55,2583.65,2565.57,2576.16
20250307,2553.44,2575.48,2541.49,2563.48
20250310,2555.4,2579.76,2549.99,2570.39
20250311,2516.69,2547.88,2505.91,2537.6
20250312,2552.6,2579.69,2541.66,2574.82
20250313,2598.06,2600.07,2561.02,2573.64
20250314,2565.18,2576.74,2559.24,2566.36
20250317,2588.32,2610.69,2587.52,2610.69
20250318,2627.27,2638.56,2606.91,2612.34
20250319,2613.48,2642.83,2613.48,2628.62
20250320,2648.16,2650.72,2629.2,2637.1
20250321,2633.9,2645.82,2617.78,2643.13
20250324,2636.43,2648.82,2629.38,2632.07
20250325,2653.04,2654.63,2612.74,2615.81
20250326,2628.09,2649.15,2618.05,2643.94
20250327,2620.28,2633.03,2603.41,2607.15
20250328,2592.63,2592.63,2549.26,2557.98
20250331,2513.44,2514.22,2479.46,2481.12
20250401,2511.24,2530.61,2494.43,2521.39
20250402,2525.62,2532.15,2499.83,2505.86
20250403,2437.43,2488.92,2437.43,2486.7
20250404,2450.49,2506.71,2438.02,2465.42
20250407,2359.25,2369.4,2327.01,2328.2
20250408,2381.2,2381.31,2328.94,2334.23
20250409,2329.99,2337.58,2284.72,2293.7
20250410,2395.13,2445.06,2391.39,2445.06
20250411,2400.74,2433.18,2394.25,2432.72
20250414,2454.28,2465.56,2449.48,2455.89
20250415,2464.51,2482.56,2461.23,2477.41
20250416,2472.78,2475.83,2442.72,2447.43
20250417,2451.7,2473.24,2447.4,2470.41
20250418,2473.3,2486.37,2466.9,2483.42
20250421,2486.38,2498.84,2479.23,2488.42
20250422,2481.18,2494.59,2476.14,2486.64
20250423,2520.56,2526.72,2507.1,2525.56
20250424,2525.34,2530.61,2507.21,2522.33
20250425,2544.59,2553.33,2534.94,2546.3
20250428,2551.23,2558.69,2541.97,2548.86
20250429,2550.25,2571.41,2542.25,2565.42
20250430,2561.04,2570.83,2544.46,2556.61
20250502,2556.52,2567.04,2540.57,2559.79
20250507,2577.04,2581.85,2559.17,2573.8
20250508,2581.27,2590.9,2575.78,2579.48
20250509,2587.93,2589.58,2571.2,2577.27
20250512,2593.94,2607.33,2585.6,2607.33
20250513,2601.76,2620.64,2601.58,2608.42
20250514,2625.36,2646.01,2619.15,2640.57
20250515,2634.5,2643.83,2618.08,2621.36
20250516,2630.64,2633.98,2619.1,2626.87
20250519,2613.7,2619.43,2593.44,2603.42
20250520,2622.68,2622.91,2598.1,2601.8
20250521,2615.9,2633.41,2614.73,2625.58
20250522,2614.66,2616.53,2588.09,2593.67
20250523,2603.57,2604.14,2589.51,2592.09
20250526,2598.45,2644.4,2595.96,2644.4
20250527,2630.29,2642.63,2625.66,2637.22
20250528,2648.86,2692.47,2643.5,2670.15
20250529,2691.06,2720.64,2686.64,2720.64
20250530,2713.24,2717.54,2689.87,2697.67
20250602,2692.91,2719.87,2685.14,2698.97
20250604,2737.92,2771.03,2734.02,2770.84
20250605,2790.33,2831.11,2787.76,2812.05
20250609,2841.56,2867.27,2841.39,2855.77
20250610,2872.62,2885.67,2849.67,2871.85
20250611,2887.32,2908.16,2879.92,2907.04
20250612,2909.99,2934.31,2909.99,2920.03
20250613,2930.57,2932.38,2877.07,2894.62
20250616,2903.5,2947.07,2886.13,2946.66
20250617,2959.93,2998.62,2925.79,2950.3
20250618,2933.63,2979.32,2933.63,2972.19
20250619,2989.56,2996.04,2954.47,2977.74
20250620,2986.52,3022.06,2972.37,3021.84
20250623,2992.2,3019.81,2971.36,3014.47
20250624,3061.14,3105.04,3061.14,3103.64
20250625,3127.79,3129.09,3084.86,3108.25
20250626,3108.34,3113.03,3036.55,3079.56
